STATEFP,COUNTYFP,STATE,COUNTY,Longitude,Latitude,Poultry,2099A1B45,2099A245,2099B145,2099B245,2099A1B85,2099A285,2099B185,2099B285
1,75,Alabama,Lamar,-88.0969513,33.77912997,31,2.575357776,2.722239824,2.399526606,2.29157165,2.297505042,2.480930826,2.163647072,2.111189155
1,77,Alabama,Lauderdale,-87.65400626,34.90140474,160,0.580831658,1.392950146,0.308785703,0.365871519,-0.933910263,-0.483296918,-0.911242237,-0.913322613
1,79,Alabama,Lawrence,-87.31099206,34.52168007,197,3.823340669,5.144353515,3.266202456,3.099600744,2.359967258,3.45412504,2.121788659,2.030189293
1,81,Alabama,Lee,-85.35550471,32.60113271,78,3.159358089,3.551741318,2.551553012,1.804304527,2.419329928,2.61755324,1.72709502,1.314378784
1,83,Alabama,Limestone,-86.98140705,34.81009731,138,-6.155661,-5.400728052,-6.790059472,-6.29644542,-8.042409177,-7.49634913,-8.514327142,-7.964216375
1,85,Alabama,Lowndes,-86.65009664,32.15474763,42,5.494584401,6.042200594,5.164023568,4.885132699,5.629703512,6.316364645,5.444355372,5.263158025
1,87,Alabama,Macon,-85.69265892,32.38593906,34,5.883421709,6.509825922,6.168021542,6.098312972,6.368733134,6.741764879,6.550988642,6.437462382
1,89,Alabama,Madison,-86.55022662,34.76309418,141,3.017248979,3.645552009,2.722236062,2.637302141,1.335216764,1.795120665,1.013258495,0.47505488
1,91,Alabama,Marengo,-87.78953822,32.24766529,37,2.220177213,3.771300993,1.987369982,1.923725079,2.428452499,3.939183381,2.251625161,2.130899794
1,93,Alabama,Marion,-87.88714285,34.13655781,119,1.595553816,2.025200609,1.625689757,1.551005372,1.20659575,1.33794392,1.211379236,1.141616573
1,95,Alabama,Marshall,-86.30663362,34.36696439,237,-6.464058401,-5.284294639,-7.009874433,-7.256954151,-7.806867244,-6.870464782,-8.074645832,-8.109066005
1,97,Alabama,Mobile,-88.20583372,30.78768874,118,3.137401341,3.588480763,3.017537258,2.865199285,3.050585314,3.429240947,2.892731561,2.646873477
1,99,Alabama,Monroe,-87.36543667,31.57087536,26,6.503166324,7.780214314,6.542536241,6.297283577,6.732738847,8.084398789,6.67827712,6.503616444
1,101,Alabama,Montgomery,-86.20761854,32.22026455,44,-0.484377562,-0.115408535,-0.905500021,-1.10023506,-0.709056045,-0.481116082,-1.133789843,-1.429473694
1,103,Alabama,Morgan,-86.85293396,34.45346662,205,-16.26428797,-15.46979373,-16.96862912,-17.73364008,-18.1619651,-17.50548376,-18.45536877,-18.89985778
1,105,Alabama,Perry,-87.29440315,32.63846097,29,-8.372293167,-7.198300688,-8.682288022,-8.555531543,-8.270463664,-7.083164185,-8.590911345,-8.615177631
1,107,Alabama,Pickens,-88.08874689,33.28079711,86,4.855839635,5.60047158,4.788506156,4.557164508,4.491268438,5.034547495,4.494177778,4.34888554
1,109,Alabama,Pike,-85.94092589,31.80272087,94,6.245734891,6.817071559,6.649554957,6.443652684,6.622269429,7.048456875,6.788775455,6.607463495
1,111,Alabama,Randolph,-85.45909851,33.29378692,151,4.170530206,4.175881526,4.331518951,3.729407758,3.344716747,3.301520992,3.441601133,3.200608741
1,113,Alabama,Russell,-85.18492335,32.28839725,46,1.771776134,1.637850274,1.427962373,1.158315452,1.233564509,1.062586958,1.049804772,0.981067446
1,115,Alabama,St. Clair,-86.31461209,33.7157191,151,2.374213789,2.276593348,2.407942317,2.387958968,1.728829784,1.693945846,1.706279105,1.656373868
1,117,Alabama,Shelby,-86.66065501,33.26426786,80,-1.515003322,-0.971894936,-1.317424972,-1.23437114,-1.873178387,-1.684328455,-1.725688531,-1.688239697
1,119,Alabama,Sumter,-88.19884604,32.59105735,13,5.271387723,6.900207388,4.604634275,4.403305393,5.313350625,6.723090881,4.649683556,4.534244821
1,121,Alabama,Talladega,-86.16587935,33.38008676,83,-1.657787417,-0.333511325,-1.676695708,-1.510777209,-2.259359362,-1.490042294,-2.071205555,-1.970138776
1,123,Alabama,Tallapoosa,-85.79751509,32.8623587,55,2.262203605,2.356735901,2.101276738,1.762920666,1.628620216,1.55621797,1.623212111,1.507407238
1,125,Alabama,Tuscaloosa,-87.52511804,33.28956993,86,3.954324577,4.390899989,3.460498441,3.058421356,3.119955168,3.426534995,2.80409091,2.721407263
1,127,Alabama,Walker,-87.29732141,33.80332704,128,5.449214427,6.689943559,4.995488871,5.204814079,4.536869709,5.309070841,4.401633287,4.56152276
1,129,Alabama,Washington,-88.20785712,31.40762962,65,5.815683931,6.451515543,5.730125409,5.786088973,5.826183552,6.651814735,5.829036593,5.862590124
1,131,Alabama,Wilcox,-87.3081961,31.98930457,22,5.21138913,5.424061649,5.114744649,5.03263988,5.365769363,5.566772217,5.253547805,5.288625163
1,133,Alabama,Winston,-87.37368062,34.14920409,56,7.144008472,7.775928646,6.785635208,6.647131203,6.479482726,6.702793103,6.239882781,6.167286429
4,1,Arizona,Apache,-109.4888231,35.39552283,841,-3.52436204,-3.5285733,-3.672671846,-3.603260182,-4.267293706,-4.27173861,-4.351509218,-4.311149026
4,3,Arizona,Cochise,-109.7511742,31.87957002,195,1.24148176,1.243040582,1.182405767,0.698380324,1.925968496,1.927323502,1.909993623,1.590050039
4,5,Arizona,Coconino,-111.7705175,35.83872689,353,-1.139704573,-1.128800256,-1.314158739,-1.365228897,-1.606876191,-1.598333013,-1.775418607,-1.781500462
4,7,Arizona,Gila,-110.8116017,33.79970812,38,2.153574111,2.112717223,2.152200861,2.186542504,1.852108087,1.840864624,1.837085637,1.856620598
4,9,Arizona,Graham,-109.8874789,32.93259779,34,1.732686689,1.729663442,1.540097707,1.133620962,1.569571066,1.558822687,1.453982597,1.217077321
4,11,Arizona,Greenlee,-109.2402379,33.2152371,18,5.48173249,5.463293099,5.460305188,5.452377159,5.184817315,5.175709714,5.155492523,5.150010182
4,12,Arizona,La Paz,-113.9814912,33.72940053,3,0.034675543,0.082145818,0.056778887,-0.171913181,-0.426708882,-0.398507108,-0.436209883,-0.525850081
4,13,Arizona,Maricopa,-112.4914553,33.34901316,290,-5.092493361,-5.051884667,-4.822511748,-6.404455889,-6.385385504,-6.324916525,-6.230702268,-7.445530241
4,15,Arizona,Mohave,-113.7578938,35.70407926,49,3.237879169,3.215697862,3.050816764,2.743813717,3.290121622,3.283905405,3.216385166,2.963381385
4,17,Arizona,Navajo,-110.3214063,35.3996438,512,-8.061149159,-8.074092167,-8.104242424,-8.049078775,-8.549604956,-8.545744803,-8.572991772,-8.528510187
4,19,Arizona,Pima,-111.7899167,32.09744139,110,-0.992259638,-1.03711031,-1.629579222,-1.810659526,-1.625661367,-1.685323665,-2.11092027,-2.345628908
4,21,Arizona,Pinal,-111.3447648,32.90440433,119,6.125994147,5.589966027,5.653217876,3.94187976,5.100988786,4.742008265,4.742949509,3.524357716
4,23,Arizona,Santa Cruz,-110.8465416,31.52595371,26,2.787832145,2.728777046,2.928640301,2.753151125,2.913715428,2.856011265,2.97754412,2.897757024
4,25,Arizona,Yavapai,-112.5537371,34.59982356,139,-7.432495691,-7.437699227,-7.564240812,-7.783630628,-7.336056065,-7.334317133,-7.457420487,-7.625993057
4,27,Arizona,Yuma,-113.9056311,32.7694767,38,3.412562463,3.447201503,3.344366801,3.135884932,3.116685161,3.159815895,3.088752247,2.941589152
5,1,Arkansas,Arkansas,-91.37418735,34.28918042,10,-2.701148716,-2.429168539,-2.03369344,-1.909368185,-3.072401046,-2.865219052,-2.493640825,-2.415863145
5,3,Arkansas,Ashley,-91.76845842,33.19121181,62,4.731703534,5.225357744,4.487939915,4.318758279,4.722349365,5.138791227,4.386101918,4.248246405
5,5,Arkansas,Baxter,-92.33694031,36.28719243,67,-0.166296591,0.655883838,0.028949785,-0.172811168,-0.60690957,-0.133409179,-0.456484201,-0.60408323
5,7,Arkansas,Benton,-94.2561387,36.33871773,434,0.600480946,0.848637773,-1.481884697,-1.900839986,-1.8436206,-1.751268982,-2.917675604,-3.038636153
5,9,Arkansas,Boone,-93.09153793,36.30861358,198,3.072531902,3.411942135,2.070110457,1.806772398,2.408881469,2.310857933,1.691849608,1.577647361
5,11,Arkansas,Bradley,-92.16237516,33.46643507,42,5.169784316,5.238507295,5.085636982,4.965441906,5.201956944,5.256352782,5.104352342,5.010630832
5,13,Arkansas,Calhoun,-92.5030187,33.55806301,21,3.355424968,3.402808052,3.358875608,3.273745147,3.386903892,3.430237995,3.378309649,3.335124263
5,15,Arkansas,Carroll,-93.53819647,36.34103978,248,5.593925863,6.32700183,4.868710591,4.364556834,4.791879274,5.141050658,4.210839457,3.842529556
5,17,Arkansas,Chicot,-91.29373575,33.26696008,13,7.20633179,7.394816546,7.87935221,7.923972526,7.157757372,7.307307201,7.71105718,7.774497229
5,19,Arkansas,Clark,-93.17635737,34.05095287,49,0.821899683,0.93399449,0.808783443,0.526128609,0.13226887,0.162756918,0.161953287,-0.073654573
5,21,Arkansas,Clay,-90.41734711,36.36829044,38,4.983194807,4.708755749,4.608430189,4.168487647,2.878137622,2.682360758,2.873941055,2.549636021
5,23,Arkansas,Cleburne,-92.02670956,35.53817802,110,-1.269385646,-0.126563688,-1.524696087,-1.495700137,-2.069908911,-1.342330678,-2.181521689,-2.208533968
5,25,Arkansas,Cleveland,-92.18515107,33.89837683,63,6.66871822,6.727565727,6.614192485,6.409875809,6.622364146,6.70090563,6.538664999,6.357632767
5,27,Arkansas,Columbia,-93.22730165,33.21431068,40,2.562103713,2.182230173,2.627529931,2.466978072,2.466128004,2.225274706,2.554818108,2.516464059
5,29,Arkansas,Conway,-92.70143979,35.26238257,135,2.857125438,3.756243585,2.210392405,2.107718239,1.552253831,2.066819386,1.361972407,1.369289882
5,31,Arkansas,Craighead,-90.63282669,35.83079896,30,-0.287672193,-0.612971848,-0.562739025,-1.672144204,-1.54146173,-1.846961889,-1.963564359,-2.776262377
5,33,Arkansas,Crawford,-94.24284837,35.58805931,128,-2.348419253,-1.66168528,-2.417038382,-2.909312183,-3.616579079,-3.374629561,-3.631935625,-3.680003666
5,35,Arkansas,Crittenden,-90.30783914,35.2056773,24,-2.310759163,-2.859564039,-3.210816904,-3.467232116,-4.04043626,-4.542673001,-4.751251469,-4.808093907
5,37,Arkansas,Cross,-90.77113535,35.29570105,17,5.87706088,5.710260333,6.452930988,6.315859857,4.60706942,4.448953529,5.049264966,5.031578367
5,39,Arkansas,Dallas,-92.65440482,33.9698728,15,6.972371336,6.880515084,6.909465034,6.776434657,6.872971205,6.855887282,6.809663141,6.729699308
5,41,Arkansas,Desha,-91.25507772,33.83091747,8,-5.766040631,-5.277364224,-5.137522716,-5.055728078,-5.980852152,-5.593643137,-5.570254779,-5.57439263
5,43,Arkansas,Drew,-91.7199659,33.58944369,49,6.70688586,7.273660139,6.65919668,6.675401252,6.743196935,7.295450213,6.679747058,6.52875225
5,45,Arkansas,Faulkner,-92.33203024,35.14704105,177,-1.561836512,-1.228533184,-2.206060056,-2.329225678,-2.669773791,-2.468920801,-2.852080235,-2.944486532
5,47,Arkansas,Franklin,-93.89057004,35.51236023,113,5.057188392,5.646194762,5.020118533,4.721002865,4.420358754,4.604434779,4.550431294,4.29706131
5,49,Arkansas,Fulton,-91.81817918,36.38165103,124,2.667726486,3.749018259,2.257300971,2.157032463,2.356803909,3.032074541,2.284421722,2.115129582
5,51,Arkansas,Garland,-93.15040123,34.57672425,70,4.862682507,5.62662588,3.370342876,3.358337967,4.072733252,4.650834464,3.140473376,3.082214582
5,53,Arkansas,Grant,-92.42367509,34.29000309,67,5.066961185,5.103650439,5.085011016,5.032248373,5.041966675,5.11204097,5.053398242,5.058901873
5,55,Arkansas,Greene,-90.55906957,36.1176477,67,-1.290558094,-0.795293695,-0.654522986,0.225771807,-2.546429124,-2.23011041,-2.335463478,-1.657876775
5,57,Arkansas,Hempstead,-93.66841892,33.73537603,163,1.423260675,1.512918758,1.391655663,1.096652669,0.729464666,0.737732577,0.827448393,0.573295658
5,59,Arkansas,Hot Spring,-92.94613293,34.31765304,97,0.749579634,0.379909768,0.498282235,0.280176106,0.190422893,-0.001830922,0.121062568,-0.073535578
5,61,Arkansas,Howard,-93.99360224,34.08891022,153,1.661564327,1.919121322,1.557079639,1.238549226,0.961067352,1.08129568,0.939196831,0.849915657
5,63,Arkansas,Independence,-91.56969162,35.74157477,148,8.725955585,9.496612276,7.571228039,7.633665857,7.246495695,7.952833788,6.71159793,6.912514427
5,65,Arkansas,Izard,-91.91339994,36.09485324,83,6.107628856,6.864079167,5.784335083,4.947796077,5.185034682,5.304158512,4.985012089,4.466662619
5,67,Arkansas,Jackson,-91.21452763,35.59922839,24,-1.635701611,-1.55911153,-1.670178056,-1.073429494,-3.062030296,-2.974163195,-3.170449463,-2.720538586
5,69,Arkansas,Jefferson,-91.93037296,34.26828629,36,0.53157519,0.687998973,-0.160525996,-0.430203461,-0.473322894,-0.360674646,-1.015469862,-0.935315751
5,71,Arkansas,Johnson,-93.46017545,35.56970038,120,-2.304899607,-2.169865075,-2.233119406,-2.326835976,-3.032675757,-2.831186575,-3.0403208,-3.158688381
5,73,Arkansas,Lafayette,-93.60700281,33.24157589,44,0.107106386,0.979898826,-0.075833879,-0.018202509,-0.355464489,0.369935954,-0.491877527,-0.482105186
5,75,Arkansas,Lawrence,-91.10700508,36.04121905,53,4.537992476,4.798963257,5.018928513,4.763607666,2.988714278,3.315966684,3.447557749,3.161709012
5,77,Arkansas,Lee,-90.7808079,34.7805173,0,3.497373878,3.790006339,3.3171429,3.37522292,2.658399433,2.838082923,2.531430309,2.565631855
5,79,Arkansas,Lincoln,-91.73440388,33.95701049,48,6.236307916,6.321601713,6.077033482,6.045306215,5.676013068,5.811665325,5.585237921,5.587747483
5,81,Arkansas,Little River,-94.23524469,33.70091119,61,0.148616685,1.147985515,-0.524006831,-0.672770668,-0.525566452,0.511361922,-1.173082135,-1.389563642
5,83,Arkansas,Logan,-93.71664404,35.2148972,205,3.025737801,3.279512269,2.932069093,2.974027071,2.405837674,2.449629263,2.441507163,2.421887692
5,85,Arkansas,Lonoke,-91.8887817,34.75425593,89,0.345129777,0.384047639,1.082696863,1.828436604,-0.317429206,-0.28454253,0.322838508,0.911760752
5,87,Arkansas,Madison,-93.72458438,36.01102394,206,5.805231536,6.633870376,5.626751629,5.294597095,5.428086445,5.961089534,5.515238426,5.298364123
5,89,Arkansas,Marion,-92.68421602,36.26844934,60,4.685394046,5.010820988,4.379064245,4.403437032,4.448528446,4.667697627,4.21497538,4.175732431
5,91,Arkansas,Miller,-93.89207469,33.31238174,45,3.223723478,3.473862542,2.871598535,2.89665951,2.816472484,2.95716538,2.5314872,2.500725475
5,93,Arkansas,Mississippi,-90.05215729,35.76241373,5,1.787892992,1.503800626,2.006598419,2.421139026,0.103539798,-0.073286502,0.275912093,0.677822938
5,95,Arkansas,Monroe,-91.20390508,34.67783621,0,2.634965973,2.946180568,2.706886898,2.616260968,1.637822809,1.986339478,1.674269724,1.612584017
5,97,Arkansas,Montgomery,-93.65955299,34.53889333,53,4.046937318,4.404101846,3.781147013,3.713626965,3.929790425,4.172708271,3.815977816,3.805304507
5,99,Arkansas,Nevada,-93.30719232,33.66400274,79,4.305558564,4.426702487,4.12650654,4.022272476,4.124297337,4.213165588,3.953276759,3.939410961
5,101,Arkansas,Newton,-93.2178625,35.91998544,59,5.355954385,5.617455198,4.903367304,4.94651373,5.39865215,5.698141616,5.034167731,5.019905811
5,103,Arkansas,Ouachita,-92.8819241,33.59335675,34,5.607990061,6.242177082,5.713723007,5.621101157,5.217858658,5.512183347,5.382847374,5.373030572
5,105,Arkansas,Perry,-92.93125556,34.94753214,57,5.908316465,5.8879715,5.863754451,5.817814588,5.372835088,5.358959375,5.3041241,5.275403015
5,107,Arkansas,Phillips,-90.84886868,34.42743522,4,5.95211509,6.038335185,5.905885681,6.581206039,5.501047866,5.584149823,5.555261658,6.061928299
5,109,Arkansas,Pike,-93.65637097,34.1634938,87,5.217022823,5.396008749,5.083625405,4.840115633,4.41616468,4.46642938,4.39042802,4.331881204
5,111,Arkansas,Poinsett,-90.66299388,35.5740109,5,-1.237258931,-1.487157666,-0.640851457,-1.08946976,-2.541334425,-2.657334289,-2.249929123,-2.518017089
5,113,Arkansas,Polk,-94.22820397,34.48584833,110,3.670677873,3.75032511,3.623699564,3.626674931,3.771642439,3.831441423,3.755541957,3.772449763
5,115,Arkansas,Pope,-93.0345461,35.44791518,174,-5.113438131,-4.604464109,-4.810600958,-4.728563243,-5.756104675,-5.497259573,-5.5872825,-5.518770306
5,117,Arkansas,Prairie,-91.55280624,34.82974807,17,4.378284725,4.438007577,4.60536399,5.196148044,3.696307585,3.774728249,4.004461275,4.454599336
5,119,Arkansas,Pulaski,-92.31199489,34.7700362,99,4.278987876,4.35090445,4.133925669,3.498413376,3.1788861,3.246587315,2.994034878,2.260546131
5,121,Arkansas,Randolph,-91.02762863,36.34149223,171,7.801277179,7.764387752,6.899399549,6.409507105,6.228538174,6.094148787,5.685259986,5.295136366
5,123,Arkansas,St. Francis,-90.74781585,35.02203144,4,4.80935868,4.518196492,4.652875781,5.310418833,3.699303589,3.496451287,3.600959785,4.160623701
5,125,Arkansas,Saline,-92.67657667,34.64663437,61,-6.018661739,-4.99005308,-6.197722787,-6.136231384,-6.205791631,-5.67532494,-6.397082142,-6.328061712
5,127,Arkansas,Scott,-94.06325105,34.86070438,85,0.545363183,0.763851573,0.434745495,0.278825864,0.580766993,0.68467127,0.486162863,0.376395139
5,129,Arkansas,Searcy,-92.699527,35.91097541,81,5.930645538,6.316650723,5.814087607,5.650505538,5.845896634,5.945586487,5.734260668,5.614767997
5,131,Arkansas,Sebastian,-94.27433491,35.19890899,167,-4.408212575,-3.87980475,-5.028805472,-5.579393211,-6.164121122,-5.759632587,-6.423685017,-6.677930809
5,133,Arkansas,Sevier,-94.24123528,33.99722499,126,3.634775865,3.968114882,3.309348536,3.070116709,2.929184285,3.139448154,2.748904804,2.615860128
5,135,Arkansas,Sharp,-91.47976883,36.16120073,123,8.88195584,9.997018956,8.140219619,7.862412882,8.021612037,8.454861445,7.544880788,7.365619141
5,137,Arkansas,Stone,-92.15676649,35.85989181,71,3.795987467,4.29603352,3.500794366,3.094432003,3.75330135,3.991890732,3.484553938,3.189168021
5,139,Arkansas,Union,-92.59722735,33.17130287,46,3.3833172,3.823549422,3.414924816,3.546594585,3.420708933,3.672141893,3.554009525,3.658198677
5,141,Arkansas,Van Buren,-92.51575748,35.58061954,90,3.472152235,3.639135814,3.576282636,3.365972521,3.476937133,3.634512597,3.482270782,3.284776299
5,143,Arkansas,Washington,-94.21560038,35.97905435,439,-2.584433371,-1.912625588,-4.00075799,-4.6370327,-4.558713606,-4.3990155,-5.218027634,-5.723834198
5,145,Arkansas,White,-91.74555517,35.25626962,244,-2.801679168,-1.775606849,-3.06762738,-3.25711218,-4.042715126,-3.062785082,-4.183691606,-4.416801184
5,147,Arkansas,Woodruff,-91.24308469,35.18631402,3,-0.612778524,-0.732316055,-1.502103319,-1.656699195,-2.10255556,-2.116014342,-2.751488751,-2.897710185
5,149,Arkansas,Yell,-93.41083236,35.00259875,184,-1.038089938,-0.899769359,-1.001272469,-0.976625735,-1.680191282,-1.6533779,-1.685519796,-1.682413594
6,1,California,Alameda,-121.8886969,37.64685904,37,-4.767025327,-4.746069649,-4.706705381,-4.745812973,-9.26164731,-9.25655724,-9.330878021,-9.623575484
6,3,California,Alpine,-119.8206726,38.59719643,0,2.27622084,2.280883262,2.293339244,2.285260717,1.620506308,1.624438318,1.635089477,1.621603434
6,5,California,Amador,-120.6511024,38.44638649,89,-0.80589606,-0.969141392,-1.013482368,-1.353995203,-3.670111453,-3.649765925,-3.669250659,-3.890861153
6,7,California,Butte,-121.6006815,39.66694061,181,-3.960096172,-3.887620821,-4.688604806,-5.131104844,-6.34211635,-6.419055162,-7.072086852,-7.42710013
6,9,California,Calaveras,-120.554134,38.20459481,149,-6.24894805,-6.282943287,-6.294535344,-6.417415519,-8.070879285,-8.058908606,-8.116389887,-8.184549714
6,11,California,Colusa,-122.2369632,39.17749574,18,-21.18271959,-21.58048487,-20.28981387,-20.09298985,-23.34909492,-23.5351964,-22.59668848,-22.41776577
6,13,California,Contra Costa,-121.9275305,37.9191562,42,-0.568738503,-0.390881197,-0.620094664,-0.650661402,-5.238586903,-5.132945437,-5.410761183,-5.48884257
6,15,California,Del Norte,-123.89724,41.74313556,15,0.032476543,0.111981261,0.011848157,-0.016978706,-1.075499748,-0.999308472,-1.048213102,-1.090788977
6,17,California,El Dorado,-120.5246639,38.77873323,299,-2.238556775,-2.209036494,-2.302394449,-2.97378256,-5.932263113,-5.941993263,-6.013669873,-6.101509146
6,19,California,Fresno,-119.6492951,36.75819465,207,-1.880148128,-1.930058252,-2.133897858,-2.382129937,-5.089782612,-5.021630672,-5.397281954,-6.000976501
6,21,California,Glenn,-122.3919331,39.5981392,63,-25.20710267,-25.58435061,-25.29780803,-25.78447763,-27.31405715,-27.62772204,-27.55105343,-28.12412854
6,23,California,Humboldt,-123.8756291,40.69929752,96,-9.070762648,-8.93723642,-9.026757881,-9.011101204,-9.200719514,-9.124374407,-9.200778394,-9.204217003
6,25,California,Imperial,-115.365341,33.03949738,7,0.098809495,0.113322749,-0.034179566,-0.024913963,-0.3513031,-0.34100205,-0.460451016,-0.433484098
6,27,California,Inyo,-117.4107283,36.51111461,6,0.174088322,0.150795801,0.096698156,0.026543542,0.346878691,0.315184117,0.295551383,0.255711437
6,29,California,Kern,-118.7300643,35.34264947,158,-0.448991489,-0.314494798,-0.29231524,-1.020372067,-1.459084609,-1.54379967,-1.423863137,-2.295918022
6,31,California,Kings,-119.8154652,36.07524268,46,-0.134431873,-0.354331567,-0.144453941,-0.539982622,-2.015279722,-2.242273879,-2.049096014,-2.292545285
